epoch,capsnet_accuracy,capsnet_loss,decoder_loss,loss,val_capsnet_accuracy,val_capsnet_loss,val_decoder_loss,val_loss
0,0.48750001192092896,0.2469010055065155,0.9571428298950195,0.6221010684967041,0.5,0.21312852203845978,1.057127833366394,0.6275226473808289
1,0.4375,0.2164658010005951,0.9376756548881531,0.5840346813201904,0.5,0.2131948173046112,0.9946144223213196,0.6030836701393127
2,0.46875,0.21515321731567383,0.7943758368492126,0.5265485048294067,0.574999988079071,0.21309995651245117,0.7952146530151367,0.5248240828514099
3,0.518750011920929,0.21511705219745636,0.6898175477981567,0.485525518655777,0.5,0.21303462982177734,0.7926584482192993,0.5237566828727722
4,0.4437499940395355,0.22670944035053253,0.6918800473213196,0.49792641401290894,0.5,0.21473369002342224,0.7902302742004395,0.5245039463043213
5,0.4437499940395355,0.2174898087978363,0.6946094632148743,0.4897766709327698,0.5,0.21239280700683594,0.7905212044715881,0.5222770571708679
6,0.5625,0.21206152439117432,0.7007907629013062,0.48677149415016174,0.5,0.2122725248336792,0.7910839915275574,0.5223774909973145
7,0.5249999761581421,0.2113420069217682,0.6894837021827698,0.48161959648132324,0.574999988079071,0.21052196621894836,0.7895325422286987,0.5200186967849731
8,0.543749988079071,0.21221253275871277,0.6806733012199402,0.47903648018836975,0.5,0.21124878525733948,0.7905561923980713,0.521146833896637
9,0.4749999940395355,0.21867191791534424,0.7092223763465881,0.4966870844364166,0.574999988079071,0.2100677490234375,0.7905867695808411,0.5199777483940125
