,loss,capsnet_loss,decoder_loss,capsnet_accuracy,val_loss,val_capsnet_loss,val_decoder_loss,val_capsnet_accuracy
0,-44.743221282958984,0.26316124200820923,-114.81216430664062,0.5004166960716248,-52.85140609741211,0.21726614236831665,-135.3792724609375,0.5
1,-52.490291595458984,0.2167898565530777,-134.45684814453125,0.4908333420753479,-52.74951171875,0.3165535032749176,-135.3726043701172,0.5
2,-52.46090316772461,0.2461674064397812,-134.45689392089844,0.49291667342185974,-52.85862350463867,0.21359772980213165,-135.3883056640625,0.5
3,-52.499366760253906,0.21381360292434692,-134.472412109375,0.5062500238418579,-52.861881256103516,0.21316829323768616,-135.39556884765625,0.5350000262260437
4,-52.50234603881836,0.21372205018997192,-134.47976684570312,0.5304166674613953,-52.86330032348633,0.2148350477218628,-135.4033966064453,0.5
5,-52.50602340698242,0.2128170132637024,-134.48678588867188,0.5529166460037231,-52.86469268798828,0.21739311516284943,-135.41351318359375,0.5199999809265137
6,-52.49230194091797,0.22269877791404724,-134.4770050048828,0.5637500286102295,-52.863712310791016,0.21174484491348267,-135.39654541015625,0.5199999809265137
7,-52.50877380371094,0.20906153321266174,-134.48423767089844,0.5683333277702332,-52.871360778808594,0.20557048916816711,-135.40032958984375,0.5737500190734863
8,-52.50704574584961,0.21041353046894073,-134.48333740234375,0.5874999761581421,-52.872249603271484,0.2046738862991333,-135.40029907226562,0.5699999928474426
9,-52.52967834472656,0.19043798744678497,-134.49008178710938,0.64083331823349,-52.87864303588867,0.20169669389724731,-135.4090118408203,0.5987499952316284
10,-52.53285598754883,0.18504728376865387,-134.4844512939453,0.6566666960716248,-52.898536682128906,0.18258695304393768,-135.4110107421875,0.6775000095367432
11,-52.5528450012207,0.16603268682956696,-134.48690795898438,0.7333333492279053,-52.940773010253906,0.14150220155715942,-135.4139404296875,0.7749999761581421
12,-52.5920524597168,0.13220585882663727,-134.50070190429688,0.7945833206176758,-52.95484924316406,0.13331469893455505,-135.4290008544922,0.7925000190734863
13,-52.60945510864258,0.11618059873580933,-134.504150390625,0.8291666507720947,-52.96962356567383,0.11722447723150253,-135.4256591796875,0.8187500238418579
14,-52.64778137207031,0.09510138630867004,-134.5481719970703,0.8533333539962769,-53.02117156982422,0.09954264014959335,-135.51199340820312,0.8587499856948853
15,-52.695777893066406,0.07925429940223694,-134.63021850585938,0.893750011920929,-53.060157775878906,0.09475871920585632,-135.59930419921875,0.8662499785423279
16,-52.73133850097656,0.06675969809293747,-134.68905639648438,0.90625,-53.07559585571289,0.08901271224021912,-135.62400817871094,0.8787500262260437
17,-52.75584030151367,0.054138991981744766,-134.71934509277344,0.9254166483879089,-53.0978889465332,0.07899346202611923,-135.65528869628906,0.8799999952316284
18,-52.76679611206055,0.04825177043676376,-134.73231506347656,0.9379166960716248,-53.0811767578125,0.09003594517707825,-135.64083862304688,0.8687499761581421
19,-52.7832145690918,0.042751479893922806,-134.76016235351562,0.9462500214576721,-53.121036529541016,0.07168838381767273,-135.69570922851562,0.8987500071525574
20,-52.8028564453125,0.03276306390762329,-134.7847900390625,0.9570833444595337,-53.1214599609375,0.07420669496059418,-135.70321655273438,0.8849999904632568
21,-52.811683654785156,0.02909225784242153,-134.79795837402344,0.9624999761581421,-53.1288948059082,0.07110410928726196,-135.71426391601562,0.8974999785423279
22,-52.82209777832031,0.02517162822186947,-134.8144989013672,0.9695833325386047,-53.12868118286133,0.07519235461950302,-135.7241668701172,0.9024999737739563
23,-52.830230712890625,0.020509004592895508,-134.8233642578125,0.9754166603088379,-53.1369743347168,0.06843680143356323,-135.72808837890625,0.8987500071525574
24,-52.83612060546875,0.019615037366747856,-134.8360137939453,0.9754166603088379,-53.141536712646484,0.07071553170681,-135.74551391601562,0.9049999713897705
25,-52.847877502441406,0.014598870649933815,-134.8531951904297,0.9833333492279053,-53.147491455078125,0.06407235562801361,-135.74375915527344,0.9200000166893005
26,-52.85456466674805,0.013004511594772339,-134.86624145507812,0.9854166507720947,-53.150390625,0.06921622157096863,-135.76431274414062,0.90625
27,-52.8565788269043,0.01496592815965414,-134.87646484375,0.9825000166893005,-53.1370964050293,0.08162405341863632,-135.7620391845703,0.8849999904632568
28,-52.86463165283203,0.014775910414755344,-134.8964080810547,0.981249988079071,-53.14634323120117,0.06894398480653763,-135.75332641601562,0.9037500023841858
29,-52.87998962402344,0.01000700518488884,-134.9234619140625,0.9887499809265137,-53.17044448852539,0.0682540163397789,-135.81297302246094,0.9125000238418579
30,-52.89605712890625,0.009461184032261372,-134.96307373046875,0.9887499809265137,-53.17853546142578,0.06677841395139694,-135.82989501953125,0.9087499976158142
31,-52.9129638671875,0.009662957862019539,-135.0066680908203,0.9912499785423279,-53.19806671142578,0.06584326922893524,-135.87734985351562,0.9087499976158142
32,-52.901309967041016,0.024807488545775414,-135.01560974121094,0.9729166626930237,-53.20610046386719,0.07750379294157028,-135.92758178710938,0.8912500143051147
33,-52.935394287109375,0.01302417553961277,-135.072509765625,0.9833333492279053,-53.220218658447266,0.06992876529693604,-135.9442596435547,0.9075000286102295
34,-52.948421478271484,0.010567497462034225,-135.09951782226562,0.9866666793823242,-53.22710037231445,0.07056453078985214,-135.96343994140625,0.9137499928474426
35,-52.95991134643555,0.008633448742330074,-135.1238250732422,0.9904166460037231,-53.234962463378906,0.06893317401409149,-135.97933959960938,0.8999999761581421
